route_code,direction,stop_order,stop_name,address,lat,lng
3,DI,1,Trạm xe buýt Man Thiện,"Trạm xe buýt Man Thiện, Đà Nẵng, Việt Nam",16.05677974,108.205385
3,DI,2,387-389 Nguyễn Văn Linh,"387-389 Nguyễn Văn Linh, Đà Nẵng, Việt Nam",16.05908251,108.2074956
3,DI,3,Bãi xe Anh Phước,"Đường Nguyễn Văn Linh, Đà Nẵng, Việt Nam",16.05819047,108.2040832
3,DI,4,Nhà ga hành khách,"Nhà ga hành khách, Sân bay Quốc tế Đà Nẵng, Đà Nẵng, Việt Nam",16.05677068,108.2028046
3,DI,5,Công viên 29/3 đường Nguyễn Tri Phương,"Công viên 29/3, Nguyễn Tri Phương, Đà Nẵng, Việt Nam",16.06209517,108.2044057
3,DI,6,130 Điện Biên Phủ,"130 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06578111,108.1993118
3,DI,7,334-336 Điện Biên Phủ,"334 - 336 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06596986,108.1928866
3,DI,8,412 Điện Biên Phủ,"412 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06598427,108.1889236
3,DI,9,568 Điện Biên Phủ,"568 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06561167,108.1841911
3,DI,10,128 Tôn Đức Thắng,"128 Tôn Đức Thắng, Đà Nẵng, Việt Nam",16.05908811,108.1744133
3,DI,11,210 Tôn Đức Thắng,"210 Tôn Đức Thắng, Đà Nẵng, Việt Nam",16.05691205,108.171405
3,DI,12,Bãi đỗ xe du lịch Bà Nà Hills,"Bãi đỗ xe du lịch Bà Nà Hills, Hòa Vang, Đà Nẵng, Việt Nam",16.0258012,108.0361736
3,VE,1,Bãi đỗ xe du lịch Bà Nà Hills,"Bãi đỗ xe du lịch Bà Nà Hills, Hòa Vang, Đà Nẵng, Việt Nam",16.0258012,108.0361736
3,VE,2,321-323 Tôn Đức Thắng,"321-323 Tôn Đức Thắng, Đà Nẵng, Việt Nam",16.05642188,108.1679099
3,VE,3,219-221 Tôn Đức Thắng,"219-221 Tôn Đức Thắng, Đà Nẵng, Việt Nam",16.0567633,108.1715598
3,VE,4,171 Tôn Đức Thắng,"171 Tôn Đức Thắng, Đà Nẵng, Việt Nam",16.05783877,108.1729665
3,VE,5,559 Điện Biên Phủ,"559 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06535927,108.1845436
3,VE,6,411 Điện Biên Phủ,"411 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06568627,108.1889248
3,VE,7,311 Điện Biên Phủ,"311 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.0657115,108.1926438
3,VE,8,135 Điện Biên Phủ,"135 Điện Biên Phủ, Đà Nẵng, Việt Nam",16.06550125,108.1990176
3,VE,9,02 Nguyễn Tri Phương,"02 Nguyễn Tri Phương, Đà Nẵng, Việt Nam",16.06527279,108.2026536
3,VE,10,88 Nguyễn Tri Phương,"88 Nguyễn Tri Phương, Đà Nẵng, Việt Nam",16.06203482,108.2041758
3,VE,11,Bãi xe Anh Phước,"Đường Nguyễn Văn Linh, Đà Nẵng, Việt Nam",16.05819047,108.2040832
3,VE,13,Nhà ga hành khách,"Nhà ga hành khách, Sân bay Quốc tế Đà Nẵng, Đà Nẵng, Việt Nam",16.05677068,108.2028046
3,VE,15,Trạm xe buýt Man Thiện,"Trạm xe buýt Man Thiện, Đà Nẵng, Việt Nam",16.05677974,108.205385
